Frame,X Position [µm],Y Position [µm],Intensity,Fit Radius
20,6.08352,10.6896,10786,1.1
20,8.00096,12.28832,6605.2,1.1
20,11.01264,14.89712,9366.5,1.1
20,16.552,15.31152,11352,1.1
20,12.53824,15.46352,7949,1.1
20,14.8208,16.3008,7365.5,1.1
20,18.0624,23.7856,9874.5,1.1
20,13.68848,24.3104,13920,1.1
20,12.0352,25.0928,7956.6,1.1
20,12.19728,26.272,8531.9,1.1
20,16.2832,4.96704,7690.4,1.1
21,22.0608,7.12448,7615.2,1.1
21,12.50432,7.43504,9056.6,1.1
21,18.9536,9.05488,9257.9,1.1
21,14.244,10.17104,9709,1.1
21,7.09936,11.92288,10245,1.1
21,14.27792,13.00192,12239,1.1
21,20.4352,14.65456,9455.5,1.1
21,10.83936,15.03952,11002,1.1
21,16.424,15.31568,12095,1.1
21,9.63456,15.70384,7232.6,1.1
21,13.6712,24.368,10355,1.1
21,22.0112,27.5744,5824.1,1.1
21,6.04592,10.6368,11639,1.1
22,7.07072,11.9656,10081,1.1
22,9.76224,15.7272,9164.1,1.1
22,17.968,23.6768,10073,1.1
22,17.9408,24.496,8672.7,1.1
22,12.11808,25.24,9990.6,1.1
22,11.14,26.2048,8010.7,1.1
22,17.1408,0.91168,4589.3,1.1
23,9.58368,9.12096,10435,1.1
23,6.0808,10.6808,7804.1,1.1
23,19.7904,11.3456,7416.2,1.1
23,11.80384,13.97152,9174.8,1.1
23,20.424,14.61872,9473,1.1
23,19.6896,15.34368,11373,1.1
23,18.2368,17.0032,7443.6,1.1
23,17.464,17.6416,9575.3,1.1
23,15.672,19.8848,8056.6,1.1
23,17.9728,23.752,9136.1,1.1
23,4.3024,3.80032,5233.7,1.1
24,9.27376,8.21232,9787.1,1.1
24,9.56128,9.14256,11942,1.1
24,12.57168,12.2048,9852.9,1.1
24,11.67472,13.95424,12671,1.1
24,11.48592,15.23408,8565.7,1.1
24,14.25712,19.216,9198.3,1.1
24,6.5288,19.6896,5744.4,1.1
24,15.82144,19.8896,7512.2,1.1
24,20.2912,21.5728,10823,1.1
24,8.99328,6.60272,7236.5,1.1
25,13.7224,8.51984,8102.7,1.1
25,19.4848,11.08352,8993.8,1.1
25,7.1392,11.99888,7739.1,1.1
25,20.576,12.46368,8967.4,1.1
25,21.92,14.5736,6677.9,1.1
25,19.656,15.37968,8935.9,1.1
25,17.6256,17.6544,9193.3,1.1
25,14.30128,19.9808,10378,1.1
25,14.85536,24.2224,9082.5,1.1
25,13.67744,24.3216,7640.5,1.1
25,6.0632,10.59408,10368,1.1
26,16.4192,15.35056,11349,1.1
26,21.9088,21.5872,5917.4,1.1
26,17.9472,24.5184,11233,1.1
26,9.5216,9.15456,10915,1.1
27,23.32,9.3136,7387.9,1.1
27,6.10928,10.58064,7826.2,1.1
27,9.38512,13.41536,9061.2,1.1
27,11.79408,13.90656,10169,1.1
27,19.6896,15.32656,11711,1.1
27,10.02768,15.64384,9722.3,1.1
27,13.70688,24.352,9633.7,1.1
27,12.43408,1.2172,7311.7,1.1
28,21.6224,4.05552,8647.2,1.1
28,9.51712,9.2104,12414,1.1
28,6.0848,10.72448,6833.4,1.1
28,20.576,12.48128,8138.2,1.1
28,14.00176,19.8464,12762,1.1
28,21.8432,21.5024,9006.6,1.1
28,22.0592,7.184,6566.2,1.1
29,12.5216,7.31616,9878.7,1.1
29,6.94016,8.54016,9918.6,1.1
29,12.74848,9.22016,6751.9,1.1
29,6.10448,10.61072,9891.2,1.1
29,7.08496,11.93248,9618.7,1.1
29,15.29184,18.328,10956,1.1
29,19.7152,18.256,12028,1.1
29,16.288,18.5856,9818.8,1.1
29,14.07328,19.8752,17079,1.1
29,17.968,24.4944,9709.1,1.1
29,12.536,7.3272,12697,1.1
30,9.59856,9.17536,9766,1.1
30,6.08656,10.62048,8422.3,1.1
30,5.04736,12.1744,6448.5,1.1
30,9.34832,13.47872,8862.5,1.1
30,18.3184,23.7344,8130.8,1.1
30,17.5856,7.48352,8803.8,1.1
31,3.87312,7.82992,4430.6,1.1
31,14.3688,10.07712,8988.8,1.1
31,6.12016,10.50528,7565.6,1.1
31,13.14944,11.81488,11021,1.1
31,15.39072,14.79824,9399.3,1.1
31,19.6624,15.272,8288.3,1.1
31,15.3344,22.376,6239,1.1
31,19.0416,8.936,8586,1.1
32,11.78784,9.86496,10756,1.1
32,6.95392,11.89296,8364,1.1
32,15.53952,14.86096,8343.8,1.1
32,12.47824,15.4384,10119,1.1
32,5.17712,16.0112,8018.9,1.1
32,17.904,24.5824,10131,1.1
32,12.24464,25.2448,10293,1.1
32,21.5824,4.04272,6096.5,1.1
33,7.68,7.33536,7344.1,1.1
33,12.55936,7.31088,8999.8,1.1
33,6.07104,10.61168,7591.2,1.1
33,18.4128,16.3824,10737,1.1
33,12.49584,1.191136,7321.8,1.1
34,11.73856,9.85392,9872.8,1.1
34,12.39984,12.1856,11880,1.1
34,18.8976,12.99152,9943.3,1.1
34,14.31152,14.0024,12626,1.1
34,20.56,14.56848,7255.7,1.1
34,11.2616,15.1128,9851.1,1.1
34,20.9584,18.9824,9398.4,1.1
34,14.95936,24.2112,7941.2,1.1
34,10.57392,4.7272,6558.4,1.1
35,18.2784,9.27376,8298.2,1.1
35,11.76,9.94304,8856.4,1.1
35,21.7344,9.94416,5548.9,1.1
35,6.05056,10.56704,9151.5,1.1
35,15.0016,11.21968,8491,1.1
35,7.05936,11.94896,8942.8,1.1
35,12.3496,12.14832,10074,1.1
35,15.68528,12.78144,9869.3,1.1
35,14.22384,14.04928,10430,1.1
35,16.0112,6.04736,7280.4,1.1
36,23.88,8.48736,6965,1.1
36,23.2448,9.36816,7175.6,1.1
36,3.70848,10.364,5091.5,1.1
36,14.42688,11.36288,7424.6,1.1
36,20.3232,14.57248,7463.7,1.1
36,20.936,19.0784,10600,1.1
36,18.3424,9.02656,9432.6,1.1
37,15.69392,12.73424,8386.6,1.1
37,7.56352,13.31008,7690.8,1.1
37,17.4336,18.0864,13117,1.1
37,21.0704,18.9552,11835,1.1
37,17.28,27.9328,7138,1.1
37,12.3968,12.2368,8936.4,1.1
38,15.78048,12.82272,7465.8,1.1
38,7.6616,13.29728,8992.9,1.1
38,19.9504,16.472,9144.8,1.1
38,16.3664,18.544,11771,1.1
38,11.99888,25.2416,10528,1.1
38,21.8816,7.06448,6963.6,1.1
39,9.78032,9.23824,6173.8,1.1
39,7.61088,13.29728,10668,1.1
39,12.56944,15.50336,9214.6,1.1
39,16.7136,15.47104,12003,1.1
39,21.0496,18.8848,10017,1.1
39,20.1984,21.5216,7492.6,1.1
39,12.1008,25.3232,11549,1.1
39,7.096,11.9632,8845.4,1.1
40,12.42288,12.16416,8546.8,1.1
40,6.08528,12.45088,8218.2,1.1
40,18.6032,13.04352,8862.1,1.1
40,7.61472,13.28848,10477,1.1
40,16.8064,15.35568,11492,1.1
40,16.1856,18.6992,14675,1.1
40,16.9408,20.68,7116.5,1.1
40,8.95568,22.9648,8295.2,1.1
40,19.2272,12.66128,6893,1.1
40,10.16912,6.05184,9223.8,1.1
41,9.5848,13.7352,8068.5,1.1
41,11.2536,15.20992,7798.5,1.1
41,12.55264,15.54512,12892,1.1
41,20.312,21.6688,9987.1,1.1
41,17.8864,23.776,7537.6,1.1
41,17.9104,24.5232,10231,1.1
41,10.2632,6.13584,8194.3,1.1
42,17.6032,6.63504,10216,1.1
42,19.2112,7.30096,9085.7,1.1
42,22.2176,7.17856,6976.6,1.1
42,13.3184,13.608,9718,1.1
42,12.36352,13.95168,8402.9,1.1
42,16.7936,15.33136,13108,1.1
42,16.248,18.536,12720,1.1
42,6.25632,18.7152,5719.9,1.1
42,8.99616,23.0256,8744.3,1.1
42,14.82144,24.048,9796.1,1.1
42,12.05136,25.2768,7299.9,1.1
42,9.09632,6.4712,7041.7,1.1
43,12.596,7.29168,11754,1.1
43,7.81008,7.46496,6318.7,1.1
43,6.05856,13.18688,7307.9,1.1
43,16.9504,13.5424,7280.2,1.1
43,14.4608,14.0744,8818.6,1.1
43,11.18736,15.12624,8321.9,1.1
43,16.6656,15.32688,11298,1.1
43,5.91936,16.0032,7931.2,1.1
43,16.2192,18.7488,15590,1.1
43,14.0832,8.8208,11015,1.1
44,19.0816,12.69664,8177.1,1.1
44,12.47664,15.4064,9261.5,1.1
44,16.1056,18.7792,9939.7,1.1
44,9.304,21.8416,6885.5,1.1
44,12.14144,25.312,8541.9,1.1
44,13.5224,8.56352,9903.6,1.1
44,21.9216,7.07904,8967.9,1.1
45,7.18304,12.00608,10189,1.1
45,12.33168,12.27072,9325.6,1.1
45,19.0544,12.67808,8605.9,1.1
45,16.7056,15.26896,14341,1.1
45,9.44672,21.7872,8638.8,1.1
45,13.26464,23.7424,9863.2,1.1
45,19.5184,23.7856,7196,1.1
45,9.33056,8.26384,7347.1,1.1
46,15.0552,11.21296,10441,1.1
46,10.28784,14.09008,7047.7,1.1
46,19.6816,14.06512,9990,1.1
46,20.4016,14.56928,8189.1,1.1
46,18.2032,17.384,10097,1.1
46,19.1584,17.7968,9082.8,1.1
46,7.75424,21.792,9041.6,1.1
46,13.1144,23.7168,6629.9,1.1
46,19.6144,23.8256,7225.3,1.1
46,9.36768,8.1344,11748,1.1
47,11.20736,15.0368,9561.4,1.1
47,16.8032,15.22432,12503,1.1
47,12.98368,21.2432,7560.5,1.1
47,12.04048,25.2,10748,1.1
47,8.2592,7.18848,7490.9,1.1
48,9.60032,9.17168,8065.9,1.1
48,18.2512,9.17824,9117.3,1.1
48,16.264,18.7856,10642,1.1
48,16.8848,19.7696,9855.9,1.1
48,7.82832,21.72,7903,1.1
48,14.06976,27.0112,8467.2,1.1
48,15.832,6.38752,6784.4,1.1
49,9.24464,8.17408,12967,1.1
49,12.34208,9.5936,7993.8,1.1
49,7.74208,13.2736,7742.6,1.1
49,16.7632,15.35712,13583,1.1
49,12.56512,15.50432,8551.6,1.1
49,16.3648,18.6272,12649,1.1
49,15.44096,21.1472,6309.8,1.1
49,18.0192,23.696,9200.5,1.1
49,13.99568,24.7696,12691,1.1
49,9.26864,8.21392,10730,1.1
50,18.3552,9.05984,10977,1.1
50,12.30544,12.228,9068.5,1.1
50,7.6384,13.2992,8772.8,1.1
50,18.8272,16.1136,8226.3,1.1
50,16.3072,18.7408,15750,1.1
50,19.9632,18.944,7474.1,1.1
50,1.556656,24.7808,4965.2,1.1
50,19.064,18.6416,9880.3,1.1
50,13.74032,8.66928,6972.8,1.1
51,14.92448,11.2664,9010.1,1.1
51,5.05712,12.1624,5836.2,1.1
51,11.41872,22.928,8577,1.1
51,13.89344,24.7296,8850,1.1
51,17.7264,24.7824,9309.4,1.1
51,15.75072,1.473808,5716.2,1.1
52,12.02544,3.084,7390.7,1.1
52,9.20592,8.26224,8638.1,1.1
52,18.3984,9.05728,7331.6,1.1
52,9.61936,9.20624,8911.5,1.1
52,15.25024,14.55872,6338.6,1.1
52,16.3904,18.6608,10326,1.1
52,17.9648,23.6512,11903,1.1
52,19.6992,23.8096,7791.3,1.1
52,17.9488,23.6496,9925.7,1.1
53,19.7024,23.7504,8058.5,1.1
53,12.00752,25.2992,10942,1.1
53,9.28704,8.14928,11762,1.1
54,6.87056,8.52752,9300.6,1.1
54,16.4,15.30896,12065,1.1
54,5.79168,17.912,6155.8,1.1
54,7.94112,21.7264,7113.2,1.1
54,15.90688,22.8976,6741,1.1
54,17.8752,23.6672,8714.1,1.1
54,15.52624,27.2608,5639,1.1
54,13.47696,27.408,8900.5,1.1
54,12.59616,7.45264,6665.2,1.1
55,9.61696,9.15328,8824.1,1.1
55,18.8096,12.72912,10559,1.1
55,16.8224,15.2328,10628,1.1
55,18.2192,17.1728,13808,1.1
55,15.11792,18.7456,7993.8,1.1
55,17.3008,19.0432,7434.6,1.1
